nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online/model is already exist!
=========================== finish pre train! ===========================
EP:1 reward:699.7291285495568 avg_reward:699.7291285495568 time_step1
EP:2 reward:705.7610213194549 avg_reward:702.7450749345059 time_step2
EP:3 reward:660.3324532992565 avg_reward:688.6075343894227 time_step3
EP:4 reward:676.0787129112263 avg_reward:685.4753290198736 time_step4
EP:5 reward:743.648523095133 avg_reward:697.1099678349254 time_step5
EP:6 reward:811.5910481593411 avg_reward:716.1901478889948 time_step6
EP:7 reward:696.4962280578382 avg_reward:713.3767307702582 time_step7
EP:8 reward:696.4264511026397 avg_reward:711.2579458118058 time_step8
EP:9 reward:680.1469434584808 avg_reward:707.8011677725475 time_step9
EP:10 reward:725.6621656301751 avg_reward:709.5872675583103 time_step10
EP:11 reward:699.780125093258 avg_reward:708.6957091523964 time_step11
EP:12 reward:704.8752678030932 avg_reward:708.3773390399543 time_step12
EP:13 reward:715.7992065365305 avg_reward:708.9482519243064 time_step13
EP:14 reward:656.0919686225499 avg_reward:705.172803117038 time_step14
EP:15 reward:725.6615551348012 avg_reward:706.5387199182222 time_step15
EP:16 reward:694.2061037771919 avg_reward:705.767931409408 time_step16
EP:17 reward:690.7592697501324 avg_reward:704.8850689588625 time_step17
EP:18 reward:666.2897751333853 avg_reward:702.7408859685581 time_step18
EP:19 reward:725.6614827771004 avg_reward:703.9472331690077 time_step19
EP:20 reward:694.2378908709661 avg_reward:703.4617660541056 time_step20
EP:21 reward:677.8680975866691 avg_reward:702.2430199366087 time_step21
EP:22 reward:725.7271019543582 avg_reward:703.3104782101428 time_step22
EP:23 reward:666.2735474714016 avg_reward:701.7001768736758 time_step23
EP:24 reward:687.2377662821933 avg_reward:701.0975764323639 time_step24
EP:25 reward:656.0961527162382 avg_reward:699.2975194837189 time_step25
EP:26 reward:725.0631628525798 avg_reward:700.2885057671367 time_step26
EP:27 reward:643.422084702521 avg_reward:698.1823420240028 time_step27
EP:28 reward:798.6142171429132 avg_reward:701.7691947068209 time_step28
EP:29 reward:649.0045122862936 avg_reward:699.9497228992166 time_step29
EP:30 reward:676.0364218277052 avg_reward:699.1526128634996 time_step30
EP:31 reward:672.7311234815063 avg_reward:698.300306754403 time_step31
EP:32 reward:666.2559614413808 avg_reward:697.2989209633711 time_step32
EP:33 reward:691.0132791358895 avg_reward:697.1084469685989 time_step33
EP:34 reward:676.0632337894175 avg_reward:696.4894701103876 time_step34
EP:35 reward:715.8142444637307 avg_reward:697.0416065204831 time_step35
EP:36 reward:694.1648727670184 avg_reward:696.9616972495536 time_step36
EP:37 reward:658.5557676742794 avg_reward:695.9236991529245 time_step37
EP:38 reward:725.7081362304893 avg_reward:696.7075001286499 time_step38
EP:39 reward:715.743079735662 avg_reward:697.195591913445 time_step39
EP:40 reward:680.1469434584808 avg_reward:696.769375702071 time_step40
EP:41 reward:687.253089982116 avg_reward:696.5372711723161 time_step41
EP:42 reward:687.2258470905235 avg_reward:696.3155705989401 time_step42
EP:43 reward:811.6720067565755 avg_reward:698.9982784165595 time_step43
EP:44 reward:663.9029409982073 avg_reward:698.200657111597 time_step44
EP:45 reward:715.765635413343 avg_reward:698.5909899627469 time_step45
EP:46 reward:715.8330145071345 avg_reward:698.965816583277 time_step46
EP:47 reward:767.0970482564451 avg_reward:700.4154172571742 time_step47
EP:48 reward:687.1927010018975 avg_reward:700.1399440018558 time_step48
EP:49 reward:668.0055886883482 avg_reward:699.4841408321925 time_step49
EP:50 reward:677.8680975866691 avg_reward:699.051819967282 time_step50
EP:51 reward:641.6449355945637 avg_reward:697.9261947835032 time_step51
EP:52 reward:724.4912061355151 avg_reward:698.4370603864264 time_step52
EP:53 reward:668.4652152791105 avg_reward:697.8715538749676 time_step53
EP:54 reward:767.1150337026374 avg_reward:699.1538405384431 time_step54
EP:55 reward:767.053666134614 avg_reward:700.3883828220098 time_step55
EP:56 reward:658.581641478098 avg_reward:699.64183386944 time_step56
EP:57 reward:838.7779040210368 avg_reward:702.0828175563101 time_step57
EP:58 reward:701.4562885136099 avg_reward:702.072015331436 time_step58
EP:59 reward:725.6963255202216 avg_reward:702.472427368534 time_step59
EP:60 reward:755.2107686524312 avg_reward:703.3513997232657 time_step60
EP:61 reward:687.2291969087652 avg_reward:703.0871013164706 time_step61
EP:62 reward:743.7367486155507 avg_reward:703.7427407890364 time_step62
EP:63 reward:680.1929888923788 avg_reward:703.3689352033751 time_step63
EP:64 reward:681.261337793908 avg_reward:703.0235039938523 time_step64
EP:65 reward:668.5020211297643 avg_reward:702.4924042574818 time_step65
EP:66 reward:699.7823689033985 avg_reward:702.4513431157532 time_step66
