nohup: ignoring input
=========================== finish pre train! ===========================
EP:1 reward:2172.104847844627 avg_reward:2172.104847844627 time_step101
EP:2 reward:1976.8226896360582 avg_reward:2074.4637687403424 time_step202
EP:3 reward:281.3392458577293 avg_reward:1476.755594446138 time_step216
EP:4 reward:2225.901993774777 avg_reward:1664.0421942782978 time_step317
EP:5 reward:2086.826987779271 avg_reward:1748.5991529784922 time_step418
EP:6 reward:2024.780749476222 avg_reward:1794.6294190614472 time_step514
EP:7 reward:2119.6344053808757 avg_reward:1841.0587028213654 time_step615
EP:8 reward:683.8363463002295 avg_reward:1696.4059082562235 time_step649
EP:9 reward:2031.3322520235024 avg_reward:1733.6199464525878 time_step750
EP:10 reward:1940.0858956691945 avg_reward:1754.2665413742484 time_step851
EP:11 reward:2157.749655284303 avg_reward:1790.9468244569807 time_step952
EP:12 reward:2060.610395139556 avg_reward:1813.4187886805287 time_step1053
