nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-c/model create successfully!
=========================== finish pre train! ===========================
EP:1 reward:732.9258941413959 avg_reward:732.9258941413959 time_step1
EP:2 reward:676.7320112758114 avg_reward:704.8289527086037 time_step2
EP:3 reward:712.4284335905041 avg_reward:707.3621130025705 time_step3
EP:4 reward:674.8718990724636 avg_reward:699.2395595200438 time_step4
EP:5 reward:750.7016229887122 avg_reward:709.5319722137775 time_step5
EP:6 reward:700.293558753512 avg_reward:707.9922366370665 time_step6
EP:7 reward:700.293558753512 avg_reward:706.8924255108444 time_step7
EP:8 reward:693.5200539488676 avg_reward:705.2208790655973 time_step8
EP:9 reward:674.8777562991463 avg_reward:701.8494209804361 time_step9
EP:10 reward:693.9551125689007 avg_reward:701.0599901392825 time_step10
EP:11 reward:674.8777562991463 avg_reward:698.6797870629065 time_step11
EP:12 reward:674.8883323605809 avg_reward:696.6971658377128 time_step12
EP:13 reward:674.8651607886422 avg_reward:695.0177808339381 time_step13
EP:14 reward:674.828935728026 avg_reward:693.5757204692301 time_step14
EP:15 reward:674.8900185872939 avg_reward:692.3300070104343 time_step15
EP:16 reward:693.943050444897 avg_reward:692.4308222250883 time_step16
EP:17 reward:693.943050444897 avg_reward:692.5197768262535 time_step17
EP:18 reward:674.8280512825345 avg_reward:691.5369031849358 time_step18
EP:19 reward:674.8651607886422 avg_reward:690.6594430588151 time_step19
EP:20 reward:674.876653853412 avg_reward:689.870303598545 time_step20
EP:21 reward:674.8415693924838 avg_reward:689.1546495887326 time_step21
EP:22 reward:691.5987159293072 avg_reward:689.2657435133041 time_step22
EP:23 reward:674.828935728026 avg_reward:688.638056218292 time_step23
EP:24 reward:743.9683147280977 avg_reward:690.9434836562004 time_step24
EP:25 reward:693.943050444897 avg_reward:691.0634663277483 time_step25
EP:26 reward:693.5148118877876 avg_reward:691.1577488492883 time_step26
EP:27 reward:674.8158710685332 avg_reward:690.5524941166678 time_step27
EP:28 reward:712.4530221194732 avg_reward:691.3346558310537 time_step28
EP:29 reward:741.9104314850664 avg_reward:693.0786480949852 time_step29
EP:30 reward:674.828935728026 avg_reward:692.4703243494199 time_step30
EP:31 reward:674.8429083338244 avg_reward:691.9016980263361 time_step31
EP:32 reward:674.9574743614797 avg_reward:691.3721910368093 time_step32
EP:33 reward:750.7016229887122 avg_reward:693.1700526111094 time_step33
EP:34 reward:674.8651607886422 avg_reward:692.6316734398604 time_step34
EP:35 reward:693.5148118877876 avg_reward:692.656905966944 time_step35
EP:36 reward:741.9104314850664 avg_reward:694.0250594535586 time_step36
EP:37 reward:674.8651607886422 avg_reward:693.5072243545068 time_step37
EP:38 reward:693.5166454297375 avg_reward:693.5074722775391 time_step38
EP:39 reward:693.3992625534626 avg_reward:693.5046976692295 time_step39
EP:40 reward:691.6696264982747 avg_reward:693.4588208899556 time_step40
EP:41 reward:674.876653853412 avg_reward:693.0055973036984 time_step41
EP:42 reward:674.8497023154056 avg_reward:692.5733140896915 time_step42
EP:43 reward:750.763743292137 avg_reward:693.9265798850972 time_step43
EP:44 reward:675.0122586778955 avg_reward:693.4967089485699 time_step44
EP:45 reward:674.8730951478899 avg_reward:693.0828508641104 time_step45
EP:46 reward:691.7401134510397 avg_reward:693.053660920348 time_step46
EP:47 reward:750.7424692770446 avg_reward:694.2810823747458 time_step47
EP:48 reward:698.3559065046135 avg_reward:694.3659745441179 time_step48
EP:49 reward:735.7303598549589 avg_reward:695.2101456729107 time_step49
EP:50 reward:735.7303598549589 avg_reward:696.0205499565517 time_step50
EP:51 reward:674.828935728026 avg_reward:695.6050281089334 time_step51
EP:52 reward:674.8477383449832 avg_reward:695.2058494596268 time_step52
EP:53 reward:750.6626149167406 avg_reward:696.2522035248554 time_step53
EP:54 reward:693.5166454297375 avg_reward:696.2015450416125 time_step54
EP:55 reward:674.8514786321838 avg_reward:695.8133620159864 time_step55
EP:56 reward:750.6626149167406 avg_reward:696.7928129606428 time_step56
EP:57 reward:691.7147816418836 avg_reward:696.7037246918926 time_step57
EP:58 reward:674.828935728026 avg_reward:696.3265731580327 time_step58
EP:59 reward:674.8651607886422 avg_reward:695.9628204060092 time_step59
EP:60 reward:674.8777562991463 avg_reward:695.6114026708948 time_step60
EP:61 reward:741.9728061722859 avg_reward:696.3714256791143 time_step61
EP:62 reward:674.828935728026 avg_reward:696.0239661637742 time_step62
EP:63 reward:741.9104314850664 avg_reward:696.7523227561755 time_step63
EP:64 reward:691.7115904584856 avg_reward:696.6735613140243 time_step64
EP:65 reward:691.7429170116786 avg_reward:696.5977052478344 time_step65
EP:66 reward:693.5166454297375 avg_reward:696.5510225233177 time_step66
EP:67 reward:693.3992625534626 avg_reward:696.5039813297377 time_step67
EP:68 reward:693.5148118877876 avg_reward:696.4600229555914 time_step68
EP:69 reward:700.293558753512 avg_reward:696.5155814454163 time_step69
EP:70 reward:700.293558753512 avg_reward:696.5695525498177 time_step70
EP:71 reward:674.876653853412 avg_reward:696.2640187653612 time_step71
EP:72 reward:674.8994512487544 avg_reward:695.9672886609641 time_step72
EP:73 reward:712.4488463782311 avg_reward:696.1930634242143 time_step73
EP:74 reward:674.8514786321838 avg_reward:695.9046636297275 time_step74
EP:75 reward:691.7429170116786 avg_reward:695.8491736748201 time_step75
EP:76 reward:693.9360421286614 avg_reward:695.8240008913181 time_step76
EP:77 reward:674.8471113924488 avg_reward:695.5515737549691 time_step77
EP:78 reward:693.8311670649405 avg_reward:695.5295172589431 time_step78
EP:79 reward:693.8311670649405 avg_reward:695.5080191552215 time_step79
EP:80 reward:674.8158710685332 avg_reward:695.2493673041379 time_step80
EP:81 reward:674.984130389113 avg_reward:694.999179194076 time_step81
EP:82 reward:693.943050444897 avg_reward:694.9862995751835 time_step82
EP:83 reward:693.943050444897 avg_reward:694.9737303085535 time_step83
EP:84 reward:674.7935896288317 avg_reward:694.7334905385569 time_step84
EP:85 reward:741.9104314850664 avg_reward:695.2885133732217 time_step85
EP:86 reward:712.4530221194732 avg_reward:695.4881006842246 time_step86
EP:87 reward:741.8481872797543 avg_reward:696.0209752427938 time_step87
EP:88 reward:674.828935728026 avg_reward:695.7801566119441 time_step88
EP:89 reward:750.8000564725165 avg_reward:696.3983577339731 time_step89
EP:90 reward:674.876653853412 avg_reward:696.1592276908557 time_step90
EP:91 reward:729.4167959250209 avg_reward:696.5246954736486 time_step91
EP:92 reward:693.9969211329218 avg_reward:696.4972196655973 time_step92
EP:93 reward:706.8839832298657 avg_reward:696.6089052953207 time_step93
EP:94 reward:700.293558753512 avg_reward:696.6481037363652 time_step94
EP:95 reward:741.9104314850664 avg_reward:697.1245492916147 time_step95
EP:96 reward:674.828935728026 avg_reward:696.892303316994 time_step96
EP:97 reward:772.3831934711418 avg_reward:697.6705599165214 time_step97
EP:98 reward:750.7016229887122 avg_reward:698.2116932131763 time_step98
EP:99 reward:700.293558753512 avg_reward:698.2327221580283 time_step99
EP:100 reward:750.7424692770446 avg_reward:698.7578196292184 time_step100
EP:101 reward:675.7398855926212 avg_reward:698.1859595437305 time_step101
EP:102 reward:691.7115904584856 avg_reward:698.3357553355573 time_step102
EP:103 reward:700.293558753512 avg_reward:698.2144065871875 time_step103
EP:104 reward:674.8514786321838 avg_reward:698.2142023827847 time_step104
EP:105 reward:712.4530221194732 avg_reward:697.8317163740924 time_step105
EP:106 reward:750.7016229887122 avg_reward:698.3357970164444 time_step106
EP:107 reward:674.8777562991463 avg_reward:698.0816389919007 time_step107
EP:108 reward:693.9827523529519 avg_reward:698.0862659759415 time_step108
EP:109 reward:693.8311670649405 avg_reward:698.2758000835995 time_step109
EP:110 reward:674.984130389113 avg_reward:698.0860902618016 time_step110
EP:111 reward:750.7016229887122 avg_reward:698.8443289286972 time_step111
EP:112 reward:675.0122586778955 avg_reward:698.8455681918703 time_step112
EP:113 reward:674.9169704385242 avg_reward:698.8460862883691 time_step113
EP:114 reward:735.7303598549589 avg_reward:699.4551005296385 time_step114
EP:115 reward:693.9360421286614 avg_reward:699.6455607650522 time_step115
EP:116 reward:691.7147816418836 avg_reward:699.623278077022 time_step116
EP:117 reward:674.9244530233265 avg_reward:699.4330921028063 time_step117
EP:118 reward:674.8730563034937 avg_reward:699.4335421530159 time_step118
EP:119 reward:674.828935728026 avg_reward:699.4331799024098 time_step119
EP:120 reward:741.8481872797543 avg_reward:700.1028952366732 time_step120
EP:121 reward:741.9104314850664 avg_reward:700.773583857599 time_step121
EP:122 reward:674.8514786321838 avg_reward:700.606111484628 time_step122
EP:123 reward:674.7935896288317 avg_reward:700.6057580236359 time_step123
EP:124 reward:693.5200539488676 avg_reward:700.1012754158436 time_step124
EP:125 reward:674.8718990724636 avg_reward:699.9105639021193 time_step125
EP:126 reward:712.4530221194732 avg_reward:700.0999460044359 time_step126
EP:127 reward:674.7935896288317 avg_reward:700.0997231900391 time_step127
EP:128 reward:693.5200539488676 avg_reward:699.910393508333 time_step128
EP:129 reward:674.8777562991463 avg_reward:699.2400667564737 time_step129
EP:130 reward:674.7918495399952 avg_reward:699.2396958945934 time_step130
EP:131 reward:712.4530221194732 avg_reward:699.6157970324499 time_step131
EP:132 reward:693.5148118877876 avg_reward:699.801370407713 time_step132
EP:133 reward:674.8398833150394 avg_reward:699.0427530109762 time_step133
EP:134 reward:735.7303598549589 avg_reward:699.6514050016395 time_step134
EP:135 reward:693.5131615219727 avg_reward:699.6513884979812 time_step135
EP:136 reward:730.1443620832396 avg_reward:699.5337278039633 time_step136
EP:137 reward:674.8777562991463 avg_reward:699.5338537590682 time_step137
EP:138 reward:693.9827523529519 avg_reward:699.5385148283002 time_step138
EP:139 reward:693.9969211329218 avg_reward:699.5444914140949 time_step139
EP:140 reward:674.9361827754798 avg_reward:699.3771569768668 time_step140
EP:141 reward:693.943050444897 avg_reward:699.5678209427817 time_step141
EP:142 reward:691.7115904584856 avg_reward:699.7364398242124 time_step142
EP:143 reward:712.4530221194732 avg_reward:699.3533326124858 time_step143
EP:144 reward:693.3992625534626 avg_reward:699.5372026512414 time_step144
EP:145 reward:674.876653853412 avg_reward:699.5372382382967 time_step145
EP:146 reward:743.9683147280977 avg_reward:700.0595202510674 time_step146
EP:147 reward:750.7016229887122 avg_reward:700.059111788184 time_step147
EP:148 reward:691.5754065568036 avg_reward:699.991306788706 time_step148
EP:149 reward:750.7424692770446 avg_reward:700.1414278829268 time_step149
EP:150 reward:736.4383323907997 avg_reward:700.1485076082852 time_step150
EP:151 reward:691.5754065568036 avg_reward:700.3159723165729 time_step151
EP:152 reward:750.6626149167406 avg_reward:701.0741210822905 time_step152
EP:153 reward:741.9749979717832 avg_reward:700.9872449128411 time_step153
EP:154 reward:674.8158710685332 avg_reward:700.800237169229 time_step154
EP:155 reward:691.7115904584856 avg_reward:700.968838287492 time_step155
EP:156 reward:674.8718990724636 avg_reward:700.2109311290492 time_step156
EP:157 reward:691.5754065568036 avg_reward:700.2095373781984 time_step157
EP:158 reward:693.3992625534626 avg_reward:700.3952406464527 time_step158
EP:159 reward:674.8514786321838 avg_reward:700.3951038248881 time_step159
EP:160 reward:693.5200539488676 avg_reward:700.5815268013855 time_step160
EP:161 reward:674.8280512825345 avg_reward:699.9100792524879 time_step161
EP:162 reward:691.6696264982747 avg_reward:700.0784861601906 time_step162
EP:163 reward:741.8481872797543 avg_reward:700.0778637181372 time_step163
EP:164 reward:741.8481872797543 avg_reward:700.5792296863499 time_step164
EP:165 reward:675.0122586778955 avg_reward:700.4119231030121 time_step165
EP:166 reward:750.6613702332531 avg_reward:700.9833703510471 time_step166
EP:167 reward:712.4530221194732 avg_reward:701.1739079467073 time_step167
EP:168 reward:750.7016229887122 avg_reward:701.7457760577164 time_step168
EP:169 reward:741.9104314850664 avg_reward:702.1619447850321 time_step169
EP:170 reward:674.8514786321838 avg_reward:701.9075239838188 time_step170
EP:171 reward:735.7303598549589 avg_reward:702.5160610438345 time_step171
EP:172 reward:674.876653853412 avg_reward:702.5158330698811 time_step172
EP:173 reward:741.9557452849173 avg_reward:702.8109020589477 time_step173
EP:174 reward:698.1302909723623 avg_reward:703.0436901823493 time_step174
EP:175 reward:693.9969211329218 avg_reward:703.0662302235619 time_step175
EP:176 reward:674.875946544185 avg_reward:702.875629267717 time_step176
EP:177 reward:691.7401134510397 avg_reward:703.0445592883029 time_step177
EP:178 reward:712.4488463782311 avg_reward:703.230736081436 time_step178
EP:179 reward:674.9244530233265 avg_reward:703.0416689410199 time_step179
EP:180 reward:674.984130389113 avg_reward:703.0433515342258 time_step180
EP:181 reward:750.6626149167406 avg_reward:703.800136379502 time_step181
EP:182 reward:741.9104314850664 avg_reward:704.2798101899036 time_step182
EP:183 reward:693.5131615219727 avg_reward:704.2755113006746 time_step183
EP:184 reward:735.7303598549589 avg_reward:704.8848790029358 time_step184
EP:185 reward:693.8311670649405 avg_reward:704.4040863587345 time_step185
EP:186 reward:674.8651607886422 avg_reward:704.0282077454264 time_step186
EP:187 reward:693.9360421286614 avg_reward:703.5490862939151 time_step187
EP:188 reward:693.943050444897 avg_reward:703.740227441084 time_step188
EP:189 reward:741.9749979717832 avg_reward:703.6519768560767 time_step189
EP:190 reward:674.8651607886422 avg_reward:703.651861925429 time_step190
