nohup: ignoring input
=========================== finish pre train! ===========================
EP:1 reward:981.3634777942282 avg_reward:981.3634777942282 time_step50
EP:2 reward:953.2396257764567 avg_reward:967.3015517853424 time_step100
EP:3 reward:1080.921455168962 avg_reward:1005.1748529132155 time_step150
EP:4 reward:963.5793570288168 avg_reward:994.7759789421159 time_step200
EP:5 reward:1305.5327759418603 avg_reward:1056.9273383420648 time_step250
EP:6 reward:1319.9202810144034 avg_reward:1100.7594954541212 time_step300
EP:7 reward:1337.860440750264 avg_reward:1134.631059067856 time_step350
EP:8 reward:1355.710111718997 avg_reward:1162.2659406492485 time_step400
EP:9 reward:1423.4847632907647 avg_reward:1191.2902542760835 time_step450
EP:10 reward:1423.4847632907647 avg_reward:1214.5097051775515 time_step500
EP:11 reward:1423.4847632907647 avg_reward:1233.5074377332983 time_step550
EP:12 reward:1423.4847632907647 avg_reward:1249.3388815297537 time_step600
EP:13 reward:1423.4847632907647 avg_reward:1262.7347185882932 time_step650
EP:14 reward:1423.4847632907647 avg_reward:1274.2168646384696 time_step700
EP:15 reward:1423.4847632907647 avg_reward:1284.1680578819562 time_step750
EP:16 reward:1423.4847632907647 avg_reward:1292.8753519700067 time_step800
EP:17 reward:1420.959765081567 avg_reward:1300.4097292118631 time_step850
EP:18 reward:1420.8662466293742 avg_reward:1307.1017579572806 time_step900
EP:19 reward:1420.8662466293742 avg_reward:1313.089362624233 time_step950
EP:20 reward:1421.3338388903371 avg_reward:1318.501586437538 time_step1000
EP:21 reward:1423.4847632907647 avg_reward:1323.5007853353109 time_step1050
EP:22 reward:1423.4847632907647 avg_reward:1328.0455116060132 time_step1100
EP:23 reward:1423.4847632907647 avg_reward:1332.195044287959 time_step1150
EP:24 reward:1423.4847632907647 avg_reward:1335.9987825797425 time_step1200
EP:25 reward:1423.4847632907647 avg_reward:1339.4982218081832 time_step1250
EP:26 reward:1423.4847632907647 avg_reward:1342.728473403667 time_step1300
EP:27 reward:1423.4847632907647 avg_reward:1345.7194471031892 time_step1350
EP:28 reward:1423.4847632907647 avg_reward:1348.496779824174 time_step1400
EP:29 reward:1423.4847632907647 avg_reward:1351.0825723575044 time_step1450
EP:30 reward:1423.4847632907647 avg_reward:1353.4959787219464 time_step1500
EP:31 reward:1423.4847632907647 avg_reward:1355.7536814499729 time_step1550
EP:32 reward:1423.4847632907647 avg_reward:1357.8702777574981 time_step1600
EP:33 reward:1423.4847632907647 avg_reward:1359.8585955009303 time_step1650
EP:34 reward:1423.4847632907647 avg_reward:1361.729953377102 time_step1700
EP:35 reward:1423.4847632907647 avg_reward:1363.4943765174921 time_step1750
EP:36 reward:1423.4847632907647 avg_reward:1365.160776150083 time_step1800
EP:37 reward:1423.4847632907647 avg_reward:1366.7371001268582 time_step1850
EP:38 reward:1423.4847632907647 avg_reward:1368.230459683803 time_step1900
EP:39 reward:1423.4847632907647 avg_reward:1369.647236699366 time_step1950
EP:40 reward:1423.4847632907647 avg_reward:1370.9931748641516 time_step2000
EP:41 reward:1423.4847632907647 avg_reward:1372.273457508703 time_step2050
EP:42 reward:1423.4847632907647 avg_reward:1373.4927743130377 time_step2100
EP:43 reward:1423.4847632907647 avg_reward:1374.6553787078685 time_step2150
EP:44 reward:1423.4847632907647 avg_reward:1375.7651374483887 time_step2200
