nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-d/model is already exist!
=========================== finish pre train! ===========================
EP:1 reward:661.068016139527 avg_reward:661.068016139527 time_step1
EP:2 reward:683.5503005979915 avg_reward:672.3091583687592 time_step2
EP:3 reward:654.284427755315 avg_reward:666.3009148309444 time_step3
EP:4 reward:699.7352570379986 avg_reward:674.659500382708 time_step4
EP:5 reward:705.9829319941964 avg_reward:680.9241867050057 time_step5
EP:6 reward:798.5275339501629 avg_reward:700.5247445791985 time_step6
EP:7 reward:707.303086160928 avg_reward:701.4930790908741 time_step7
EP:8 reward:654.0922892976761 avg_reward:695.5679803667244 time_step8
EP:9 reward:721.6213235749073 avg_reward:698.4627962787448 time_step9
EP:10 reward:690.461027334774 avg_reward:697.6626193843477 time_step10
EP:11 reward:734.3928494653612 avg_reward:701.0017312098944 time_step11
EP:12 reward:798.5275339501629 avg_reward:709.1288814382501 time_step12
EP:13 reward:730.3566483302575 avg_reward:710.7617865837892 time_step13
EP:14 reward:661.4384697941736 avg_reward:707.238692527388 time_step14
EP:15 reward:721.6865479059765 avg_reward:708.2018828859606 time_step15
EP:16 reward:699.7614455673961 avg_reward:707.6743555535503 time_step16
EP:17 reward:730.4723520563527 avg_reward:709.0154141713622 time_step17
EP:18 reward:724.992012641149 avg_reward:709.9030029752392 time_step18
EP:19 reward:692.2401653753557 avg_reward:708.9733799436664 time_step19
EP:20 reward:692.244871194066 avg_reward:708.1369545061864 time_step20
EP:21 reward:692.1600797762469 avg_reward:707.3761509476178 time_step21
EP:22 reward:661.4691751070761 avg_reward:705.2894702275933 time_step22
EP:23 reward:734.5683445287202 avg_reward:706.5624647624248 time_step23
EP:24 reward:683.609120704596 avg_reward:705.6060754266819 time_step24
EP:25 reward:691.0417755591793 avg_reward:705.0235034319818 time_step25
EP:26 reward:690.9620140954161 avg_reward:704.482676919037 time_step26
EP:27 reward:692.4180834356501 avg_reward:704.035840123356 time_step27
EP:28 reward:714.8068080310192 avg_reward:704.4205175486296 time_step28
EP:29 reward:714.7695599307939 avg_reward:704.7773810790492 time_step29
EP:30 reward:692.4180834356501 avg_reward:704.3654044909358 time_step30
EP:31 reward:692.2308695146227 avg_reward:703.9739678787967 time_step31
EP:32 reward:691.3773838588255 avg_reward:703.5803246281725 time_step32
EP:33 reward:721.6314431236051 avg_reward:704.1273282189433 time_step33
EP:34 reward:683.5900752308962 avg_reward:703.5232913663536 time_step34
EP:35 reward:691.1049391235662 avg_reward:703.1684813022739 time_step35
EP:36 reward:692.4180834356501 avg_reward:702.8698591393121 time_step36
EP:37 reward:763.3307418652001 avg_reward:704.5039370508226 time_step37
EP:38 reward:654.1045969712247 avg_reward:703.1776386276753 time_step38
EP:39 reward:743.3345603998782 avg_reward:704.2073032885011 time_step39
EP:40 reward:731.1322054279661 avg_reward:704.8804258419877 time_step40
EP:41 reward:661.4384697941736 avg_reward:703.8208659383826 time_step41
EP:42 reward:684.7993897888722 avg_reward:703.3679736491085 time_step42
EP:43 reward:730.3473125675253 avg_reward:703.9954001355834 time_step43
EP:44 reward:721.5777582548515 avg_reward:704.3949991837485 time_step44
EP:45 reward:917.1059052832954 avg_reward:709.121908208183 time_step45
EP:46 reward:725.009340035796 avg_reward:709.4672871609571 time_step46
EP:47 reward:754.4829963274327 avg_reward:710.4250682070523 time_step47
EP:48 reward:692.2635958614982 avg_reward:710.0467041998533 time_step48
EP:49 reward:684.6374116470759 avg_reward:709.5281472089803 time_step49
EP:50 reward:743.3345603998782 avg_reward:710.2042754727981 time_step50
EP:51 reward:683.3969537969375 avg_reward:709.678641714448 time_step51
EP:52 reward:706.017069709014 avg_reward:709.6082268681896 time_step52
EP:53 reward:754.5019429116609 avg_reward:710.4552781142928 time_step53
EP:54 reward:690.9689074695732 avg_reward:710.0944193986498 time_step54
EP:55 reward:683.5433909078781 avg_reward:709.6116734260903 time_step55
EP:56 reward:692.2308695146227 avg_reward:709.3013019276714 time_step56
EP:57 reward:683.609120704596 avg_reward:708.8505619062139 time_step57
EP:58 reward:699.8343082865122 avg_reward:708.6951092575983 time_step58
EP:59 reward:654.1926595702225 avg_reward:707.7713389239141 time_step59
EP:60 reward:707.303086160928 avg_reward:707.7635347111976 time_step60
EP:61 reward:661.4384697941736 avg_reward:707.0041074174759 time_step61
EP:62 reward:692.244871194066 avg_reward:706.7660552203241 time_step62
EP:63 reward:692.2408939251761 avg_reward:706.5354971045282 time_step63
