dbreadtime,dbwritetime,tps,committime,consensus_clique_cost,delay,contracttime,queuetime,peer_message_sent,peer_message_recieved,peer_message_tps
,,,,,,,,329.2181069958848,4.11522633744856,333.3333333333333
,,,,,,,,,,
,,,,,,,,629.9212598425197,704.7244094488188,1334.645669291339
,,,,,,,,,,
,,,,,,,,0.0,5.063723976416288e-08,5.063723976416288e-08
,,,,,,,,372.09302325581393,4.651162790697675,376.7441860465116
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,5.754229767584277e-10,5.754229767584277e-10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,3.515833169967666e-07,3.515833169967666e-07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,377.35849056603774,429.2452830188679,806.6037735849056
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,inf,,inf
,,,,,,,,336.1344537815126,764.7058823529412,1100.8403361344538
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,340.4255319148936,374.468085106383,714.8936170212766
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,343.3476394849785,390.5579399141631,733.9055793991416
,,,,,,,,370.3703703703704,4.62962962962963,375.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,inf,inf,inf
,,,,,,,,,,
,,,,,,,,0.0,7.031647153762226e-07,7.031647153762226e-07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,379.1469194312796,440.7582938388626,819.9052132701422
,,,,,,,,0.0,5.2938729001389595e-08,5.2938729001389595e-08
,,,,,,,,134.30330162283155,733.6317851147174,867.935086737549
,,,,,,,,0.0,5.2363299424127234e-08,5.2363299424127234e-08
,,,,,,,,379.1469194312796,436.0189573459715,815.1658767772511
,,,,,,,,,,
,,,,,,,,149.812734082397,120.78651685393258,270.5992509363296
,,,,,,,,351.64835164835165,204.3956043956044,556.0439560439561
,,,,,,,,,,
,,,,,,,,338.9830508474576,372.8813559322034,711.8644067796611
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,2.0715136137000943e-08,2.0715136137000943e-08
,,,,,,,,,,
,,,,,,,,0.0,3.515818375885356e-07,3.515818375885356e-07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,343.3476394849785,394.84978540772534,738.1974248927039
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,1263500.0,171000.0,1434500.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,2.1290535697487877e-08,2.1290535697487877e-08
,,,,,,,,380.95238095238096,433.3333333333333,814.2857142857143
,,,,,,,,,,
,,,,,,,,inf,inf,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,82.79009126466754,511.7340286831813,594.5241199478488
,,,,,,,,0.0,1.0300009867350877e-07,1.0300009867350877e-07
,,,,,,,,81.05369807497468,1328.267477203647,1409.321175278622
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,47000.0,653000.0,700000.0
,,,,,,,,250.78369905956112,144.20062695924764,394.9843260188088
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,238.0952380952381,91.26984126984128,329.36507936507934
,,,,,,,,,,
,,,,,,,,0.0,5.063322535586736e-08,5.063322535586736e-08
,,,,,,,,0.0,3.509802707372327e-07,3.509802707372327e-07
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,373.8317757009346,415.8878504672897,789.7196261682243
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,80.97165991902834,128.5425101214575,209.51417004048585
,,,,,,,,,,
,,,,,,,,49307.692307692305,17076.923076923078,66384.61538461539
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,307.6923076923077,3.8461538461538463,311.53846153846155
,,,,,,,,277.77777777777777,3.4722222222222223,281.25
,,,,,,,,136.986301369863,1318.4931506849316,1455.4794520547946
,,,,,,,,330.57851239669424,4.132231404958677,334.7107438016529
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,377.35849056603774,419.811320754717,797.1698113207547
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,372.09302325581393,423.2558139534884,795.3488372093024
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,336.1344537815126,369.74789915966386,705.8823529411765
,,,,,,,,inf,inf,inf
