dbreadtime,dbwritetime,tps,committime,consensus_clique_cost,delay,contracttime,queuetime,peer_message_sent,peer_message_recieved,peer_message_tps
,,,,,,,,0.0,3.5101550838540633e-07,3.5101550838540633e-07
,,,,,,,,0.0,5.0638299251242134e-08,5.0638299251242134e-08
,,,,,,,,1381.4866760168302,666.9004207573632,2048.3870967741937
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,325.2032520325203,361.7886178861789,686.9918699186992
,,,,,,,,,,
,,,,,,,,536.9127516778524,312.08053691275165,848.993288590604
,,,,,,,,370.3703703703704,421.2962962962963,791.6666666666666
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,352.42290748898677,400.8810572687225,753.3039647577092
,,,,,,,,373.8317757009346,415.8878504672897,789.7196261682243
,,,,,,,,0.0,1.053045435515046e-06,1.053045435515046e-06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,48.45548152634767,22.4106602059358,70.86614173228347
,,,,,,,,inf,,inf
,,,,,,,,0.0,7.020299783833651e-07,7.020299783833651e-07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,330.57851239669424,2524.793388429752,2855.371900826446
,,,,,,,,322.5806451612903,4.032258064516129,326.61290322580646
,,,,,,,,80000.0,88000.0,168000.0
,,,,,,,,,,
,,,,,,,,329.2181069958848,4.11522633744856,333.3333333333333
,,,,,,,,350.87719298245617,4.385964912280702,355.2631578947368
,,,,,,,,325.2032520325203,4.065040650406504,329.2682926829268
,,,,,,,,91424.24242424245,13818.181818181818,105242.42424242424
,,,,,,,,,,
,,,,,,,,203.5623409669211,1.272264631043257,204.8346055979644
,,,,,,,,0.0,2.0715614234548675e-08,2.0715614234548675e-08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,2.0715604997958093e-08,2.0715604997958093e-08
,,,,,,,,,,
,,,,,,,,368.66359447004606,423.963133640553,792.6267281105991
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,259.7402597402597,3.2467532467532467,262.987012987013
,,,,,,,,0.0,3.515896409276256e-07,3.515896409276256e-07
,,,,,,,,338.9830508474576,377.1186440677966,716.1016949152543
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,373.8317757009346,425.233644859813,799.0654205607476
,,,,,,,,,,
,,,,,,,,inf,inf,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,334.72803347280336,4.184100418410042,338.9121338912134
,,,,,,,,317.46031746031747,353.1746031746032,670.6349206349206
,,,,,,,,334.72803347280336,4.184100418410042,338.9121338912134
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,375.5868544600939,431.924882629108,807.5117370892019
,,,,,,,,inf,,inf
,,,,,,,,1032.571032571033,581.4275814275815,1613.998613998614
,,,,,,,,,,
,,,,,,,,0.0,5.063803962287129e-08,5.063803962287129e-08
,,,,,,,,,,
,,,,,,,,0.0,2.0715558616379883e-08,2.0715558616379883e-08
,,,,,,,,,,
,,,,,,,,inf,inf,inf
,,,,,,,,inf,inf,inf
,,,,,,,,597.0149253731344,332.089552238806,929.1044776119404
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,299.62546816479403,3.745318352059925,303.3707865168539
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,3.5158875228717033e-07,3.5158875228717033e-07
,,,,,,,,581.8181818181819,0.0,581.8181818181819
,,,,,,,,,,
,,,,,,,,167.5392670157068,93.19371727748693,260.73298429319374
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,349.34497816593887,198.68995633187777,548.0349344978166
,,,,,,,,5763.358778625954,870.2290076335878,6633.587786259542
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,305.3435114503817,3.816793893129771,309.1603053435114
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,0.0,5.063792249898499e-08,5.063792249898499e-08
,,,,,,,,,,
,,,,,,,,340.4255319148936,4.25531914893617,344.6808510638298
,,,,,,,,377.35849056603774,433.9622641509434,811.3207547169811
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,373.8317757009346,425.233644859813,799.0654205607476
,,,,,,,,191.38755980861245,211.7224880382775,403.1100478468899
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,5.1213302330028574e-08,5.1213302330028574e-08
,,,,,,,,285.7142857142857,317.85714285714283,603.5714285714286
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,407.1246819338422,458.01526717557255,865.1399491094147
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,inf,,inf
,,,,,,,,952.3809523809524,11.904761904761903,964.2857142857144
,,,,,,,,235.75638506876228,87.42632612966601,323.1827111984283
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,311.284046692607,342.4124513618677,653.6964980544747
,,,,,,,,57.2655690765927,26.48532569792412,83.75089477451682
,,,,,,,,,,
,,,,,,,,368.66359447004606,423.963133640553,792.6267281105991
,,,,,,,,373.8317757009346,429.9065420560748,803.7383177570093
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,366.9724770642202,422.0183486238532,788.9908256880734
,,,,,,,,3404.255319148936,0.0,3404.255319148936
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,2.071543600514368e-08,2.071543600514368e-08
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,inf,inf,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,2.0715417407459893e-08,2.0715417407459893e-08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,375.5868544600939,431.924882629108,807.5117370892019
,,,,,,,,559.4405594405595,321.67832167832165,881.1188811188811
,,,,,,,,377.35849056603774,433.9622641509434,811.3207547169811
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,2.0715398822456844e-08,2.0715398822456844e-08
,,,,,,,,,,
,,,,,,,,0.0,5.754276604675106e-10,5.754276604675106e-10
,,,,,,,,361.9909502262444,411.7647058823529,773.7556561085972
,,,,,,,,382.7751196172249,435.4066985645933,818.1818181818181
,,,,,,,,375.5868544600939,427.2300469483568,802.8169014084507
,,,,,,,,190.9307875894988,88.3054892601432,279.236276849642
,,,,,,,,,,
,,,,,,,,124.12723041117144,70.59736229635377,194.7245927075252
,,,,,,,,,,
,,,,,,,,0.0,5.0637602871795385e-08,5.0637602871795385e-08
,,,,,,,,,,
,,,,,,,,inf,inf,inf
,,,,,,,,333.3333333333333,4.166666666666667,337.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,2.0715369440014305e-08,2.0715369440014305e-08
,,,,,,,,,,
,,,,,,,,337.55274261603375,375.52742616033754,713.0801687763714
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,3.510101959812875e-07,3.510101959812875e-07
,,,,,,,,360.36036036036035,414.4144144144144,774.7747747747748
,,,,,,,,0.0,5.0637528571440966e-08,5.0637528571440966e-08
,,,,,,,,,,
,,,,,,,,120.93726379440665,67.2713529856387,188.20861678004536
,,,,,,,,inf,,inf
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,5.293920454663377e-08,5.293920454663377e-08
,,,,,,,,,,
,,,,,,,,0.0,5.75426042708935e-10,5.75426042708935e-10
,,,,,,,,145.32243415077204,1191.6439600363306,1336.9663941871029
,,,,,,,,,,
,,,,,,,,372.09302325581393,423.2558139534884,795.3488372093024
,,,,,,,,,,
,,,,,,,,338.9830508474576,372.8813559322034,711.8644067796611
,,,,,,,,334.72803347280336,4.184100418410042,338.9121338912134
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,5.754255810411075e-10,5.754255810411075e-10
,,,,,,,,inf,,inf
,,,,,,,,inf,,inf
,,,,,,,,361.9909502262444,416.289592760181,778.2805429864253
,,,,,,,,,,
,,,,,,,,316.20553359683794,3.952569169960474,320.15810276679844
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,0.0,5.75425220553558e-10,5.75425220553558e-10
,,,,,,,,,,
,,,,,,,,1390000.0,228000.0,1618000.0
,,,,,,,,0.0,5.2363682767820216e-08,5.2363682767820216e-08
,,,,,,,,,,
,,,,,,,,inf,,inf
,,,,,,,,379.1469194312796,431.2796208530806,810.4265402843602
,,,,,,,,,,
,,,,,,,,557.4912891986063,630.6620209059233,1188.1533101045295
,,,,,,,,124.804992199688,140.40561622464898,265.21060842433695
,,,,,,,,337.55274261603375,375.52742616033754,713.0801687763714
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,373.8317757009346,4.672897196261682,378.50467289719626
,,,,,,,,,,
,,,,,,,,inf,inf,inf
,,,,,,,,,,
,,,,,,,,466.4723032069971,2.9154518950437316,469.3877551020408
,,,,,,,,790500.0,114000.0,904500.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,1212.121212121212,545.4545454545455,1757.5757575757575
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,1390000.0,228000.0,1618000.0
,,,,,,,,379.1469194312796,436.0189573459715,815.1658767772511
,,,,,,,,,,
,,,,,,,,375.5868544600939,4.694835680751174,380.28169014084506
,,,,,,,,336.1344537815126,373.9495798319328,710.0840336134454
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,377.35849056603774,433.9622641509434,811.3207547169811
,,,,,,,,370.3703703703704,421.2962962962963,791.6666666666666
,,,,,,,,,,
