dbreadtime,dbwritetime,tps,committime,consensus_clique_cost,delay,contracttime,queuetime,peer_message_sent,peer_message_recieved,peer_message_tps
,,,,,,,,44.05397718,17.47621907,61.53019625
252.7947692,,,,,,270.23407,,2135.444263,8387.736906,10523.18117
261.1453077,,,,,,239.172353,,1258.333558,7560.02587,8818.359428
,,,,,,,,30.84906272,18.69364987,49.54271259
24.05866667,,,,,,,,873.1480659,14280.07211,15153.22018
24.39425,,,,,,,,280.4053158,11935.01154,12215.41685
345.3946154,,,,,,291.269215,,2265.644048,9560.747553,11826.3916
326.6529231,,,,,,259.774417,,3624.29032,6844.654931,10468.94525
365.1061667,,,,,,249.195318,,2051.903981,4963.936438,7015.840419
467.7704615,,,,,,277.78407,,3234.710867,5096.021471,8330.732338
308.0183636,,,,,,226.974532,,2017.33893,4350.964288,6368.303218
379.204,,,,,,245.410518,,5019.634875,7965.374122,12985.009
304.7019091,,,,,,270.690564,,7175.45478,7834.827787,15010.28257
259.5043333,,,,,,237.43105,,203.2043767,6388.196147,6591.400523
,,,,,,,,304.5517241,4309.103448,4613.655172
,,,,,,,,56.93399873,1046.025163,1102.959162
359.211,,,,,,217.099762,,291.71872,9459.026043,9750.744763
188.6814286,,,,,,191.3784067,,238.8144771,12620.57814,12859.39262
,,,,,,,,156.7555636,2799.592303,2956.347867
423.9012308,,,,,,279.026642,,1774.481671,9563.497683,11337.97935
392.2472308,,,,,,231.454942,,1715.581173,9068.607843,10784.18902
222.3417143,,,,,,271.395176,,1019.583369,7780.305142,8799.888511
227.0121429,,,,,,296.31053,,1003.205088,17294.3091,18297.51419
173.4518,,,,,,249.8177,,733.4345104,15513.29304,16246.72755
317.5271667,,,,,,243.548261,,3582.620536,10013.0346,13595.65513
304.102,,,,,,275.117523,,2671.411279,6251.561826,8922.973105
338.9465714,,,,,,253.104726,,10723.68796,7305.159838,18028.8478
388.4359167,,,,,,219.471281,,236.7708023,7699.867234,7936.638036
416.1811667,,,,,,257.8632,,409.6799639,17013.25501,17422.93498
