period,gaslimit,transactionpool,connection,position,number,dbreadtime,dbwritetime,tps,committime,consensus_clique_cost,delay,contracttime,queuetime,peer_message_sent,peer_message_recieved,peer_message_tps
5,15000000,1024 2048 3072 2048,ring,a,1,632.9652380952381,1687.9368750000003,49.99750012499375,4339.875,73.59523022812499,4230.426035502958,259.4818608983649,3880.617620345141,37294.58286519948,30447.84438129227,67742.42724649174
5,15000000,1024 2048 3072 2048,ring,a,2,240.1771833333333,1387.8244285714284,24.99937501562461,3205.0,9.775559942285714,9864.14423076923,251.25433593632724,12011.108057464086,29139.93274056712,17702.007592163256,46841.94033273037
5,15000000,1024 2048 3072 2048,ring,a,4,173.745264,1324.8492499999998,12.4998437519531,1.0,94.442690115,19308.214285714286,223.7186331205112,29556.28192602931,18396.30187537412,9168.217967018149,27564.51984239227
5,15000000,1024 2048 3072 2048,ring,b,1,609.2769999999999,1478.3321249999997,40.0,4370.875,94.210823705375,4859.502901353965,246.4624431291817,4625.752247752248,101.32882982978536,55.28643171414604,156.61526154393138
5,15000000,1024 2048 3072 2048,ring,b,2,248.17764179104475,1439.91875,25.0,1.0,83.24418022675002,8551.548387096775,247.8316815675755,9442.841136244082,20469.871268145715,14724.40925275765,35194.28052090336
5,15000000,1024 2048 3072 2048,tree,a,1,445.213157894737,3617.973875,50.0,4334.625,4.470148962125,3800.6272727272726,257.6146517651566,2402.671267252196,91132.7394209354,44998.09099586382,136130.83041679923
5,15000000,1024 2048 3072 2048,tree,a,2,284.3448999999999,1575.2705714285712,25.0,3113.0,9.775209596571427,8462.95,237.8060750036481,5663.8732272069465,80355.64022281741,28542.00460221057,108897.64482502798
5,15000000,1024 2048 3072 2048,tree,b,1,416.4246829268293,1301.6408749999998,50.0,4279.0,94.8107941735,3725.239463601533,249.61079806744263,3526.165834165834,104303.4654742454,62001.54785450168,166305.0133287471
5,15000000,1024 2048 3072 2048,tree,b,2,330.41544927536216,1452.247125,25.00062501562539,1.0,67.30192973187499,8859.645161290322,224.0902209265348,12934.154185022026,66871.02341868031,33112.84674795738,99983.87016663767
5,15000000,1024 2048 3072 2048,random,a,1,743.340625,2337.814625,50.00250012500625,4327.625,83.3092659715,3808.410609037328,212.6032560471978,3559.148851148851,118.63568956994564,65.6138616437287,184.24955121367432
5,15000000,1024 2048 3072 2048,random,a,2,230.3976451612904,1978.3625714285715,24.99937501562461,3342.0,9.726468692142856,8175.097087378641,250.04394977168897,10127.935834692767,70506.47222042976,14397.973801380913,84904.44602181067
5,15000000,1024 2048 3072 2048,random,b,1,711.0193750000001,1236.110125,50.0,4252.875,95.166249798,3718.944547134936,194.40941656590093,3413.4995004995003,118.14069056046506,60.64086636506411,178.78155692552917
5,15000000,1024 2048 3072 2048,random,b,2,242.3532,4808.268125,25.0,23.0,72.63557491799999,8337.91,234.3306179479684,9393.661964188825,74990.03633367045,16556.841592688317,91546.87792635876
5,15000000,2048 2048 3072 2048,ring,a,1,489.4861621621621,1815.858125,49.99750012499375,4344.5,71.51976926925,3466.431818181818,260.7483144897966,3042.6496178718403,45794.536895843004,33199.849720435814,78994.38661627882
5,15000000,2048 2048 3072 2048,ring,a,2,299.4159523809525,1370.4504285714286,25.0,3240.0,9.748138731428572,8550.51724137931,251.59097572458523,10464.663232104122,26845.793249108166,15535.048744993495,42380.84199410166
5,15000000,2048 2048 3072 2048,ring,a,4,136.54095384615383,1590.743125,12.4998437519531,1.0,79.55585706224997,18413.0,223.289914762484,32528.16936104696,19865.31152865691,10563.986342125756,30429.297870782662
5,15000000,2048 2048 3072 2048,ring,b,1,538.1428749999999,1366.324625,50.0,4312.0,96.154821338875,3747.394686907021,212.3473656542058,3517.354645354645,105.5431797045656,50.21952116270519,155.7627008672708
5,15000000,2048 2048 3072 2048,ring,b,2,285.47207692307694,1856.192875,24.99937501562461,1.0,69.953631159625,8915.793103448275,225.9213102645504,9107.327722251446,18871.49796441209,13035.600593554604,31907.098557966696
5,15000000,2048 2048 3072 2048,tree,a,2,299.8345762711865,2146.082571428572,25.0,3185.0,9.764673474142857,8163.260162601626,278.1371173429426,6569.854748603352,71478.5059992259,26253.4253644691,97731.931363695
5,15000000,2048 2048 3072 2048,tree,a,4,150.488,1308.856,12.50015625195315,1.0,85.33774944600002,19458.090909090908,234.88356872268068,42488.21594601349,40987.35864730157,15925.625703413902,56912.98435071547
5,15000000,2048 2048 3072 2048,tree,b,1,442.424564102564,1307.030625,50.00250012500625,4272.75,103.75154226025,3771.529411764706,255.3288516445065,3438.2817182817184,110645.02118644067,61394.51271186441,172039.5338983051
5,15000000,2048 2048 3072 2048,tree,b,2,287.49748000000005,1863.986,25.0,0.0,78.04784580849999,8876.75,226.0104394238586,10076.088864204388,61126.98649741771,31079.472341484663,92206.45883890236
5,15000000,2048 2048 3072 2048,random,a,1,870.783,1332.347625,50.0,4317.5,89.26466723612499,4682.6731141199225,248.09793063872263,4360.012987012987,115.45371543015344,58.49262215415427,173.9463375843077
5,15000000,2048 2048 3072 2048,random,a,2,287.8575166666667,1886.7012857142856,25.0,3215.0,9.825952099142857,8272.114285714286,252.52456524335688,9413.87440381558,62282.95984885452,16680.1796729352,78963.13952178972
